日期,汇买价,钞买价,汇卖价,钞卖价
2025年2月8日,93.48,93.48,93.86,93.86
2025年2月7日,93.45,93.45,93.83,93.83
2025年2月6日,93.46,93.46,93.84,93.84
2025年2月5日,93.27,93.27,93.65,93.65
2025年2月4日,93.59,93.59,93.97,93.97
2025年2月3日,93.54,93.54,93.92,93.92
2025年2月2日,93.19,93.19,93.57,93.57
2025年2月1日,93.19,93.19,93.57,93.57
2025年1月31日,93.08,93.08,93.46,93.46
2025年1月30日,93.06,93.06,93.44,93.44
2025年1月29日,93.06,93.06,93.44,93.44
2025年1月28日,93.05,93.05,93.43,93.43
2025年1月27日,92.95,92.95,93.33,93.33
2025年1月26日,92.86,92.86,93.24,93.24
2025年1月25日,92.86,92.86,93.24,93.24
2025年1月24日,92.93,92.93,93.31,93.31
2025年1月23日,93.41,93.41,93.79,93.79
2025年1月22日,93.19,93.19,93.57,93.57
2025年1月21日,93.41,93.41,93.79,93.79
2025年1月20日,93.68,93.68,94.06,94.06
2025年1月19日,93.9,93.9,94.28,94.28
2025年1月18日,93.9,93.9,94.28,94.28
2025年1月17日,93.97,93.97,94.35,94.35
2025年1月16日,94,94,94.38,94.38
2025年1月15日,94.01,94.01,94.39,94.39
2025年1月14日,94.03,94.03,94.41,94.41
2025年1月13日,94.03,94.03,94.41,94.41
2025年1月12日,93.97,93.97,94.35,94.35
2025年1月11日,93.97,93.97,94.35,94.35
2025年1月10日,94.06,94.06,94.44,94.44
2025年1月9日,94.08,94.08,94.46,94.46
2025年1月8日,94.08,94.08,94.46,94.46
2025年1月7日,94.06,94.06,94.44,94.44
2025年1月6日,93.97,93.97,94.35,94.35
2025年1月5日,93.95,93.95,94.33,94.33
2025年1月4日,93.95,93.95,94.33,94.33
2025年1月3日,93.95,93.95,94.33,94.33
2025年1月2日,93.73,93.73,94.11,94.11
2025年1月1日,93.79,93.79,94.17,94.17
2024年12月31日,93.84,93.84,94.22,94.22
2024年12月30日,93.88,93.88,94.26,94.26
2024年12月29日,93.82,93.82,94.2,94.2
2024年12月28日,93.82,93.82,94.2,94.2
2024年12月27日,93.9,93.9,94.28,94.28
2024年12月26日,93.82,93.82,94.2,94.2
2024年12月25日,93.82,93.82,94.2,94.2
2024年12月24日,93.78,93.78,94.16,94.16
2024年12月23日,93.77,93.77,94.15,94.15
2024年12月22日,93.71,93.71,94.09,94.09
2024年12月21日,93.71,93.71,94.09,94.09
2024年12月20日,93.75,93.75,94.13,94.13
2024年12月19日,93.75,93.75,94.13,94.13
2024年12月18日,93.59,93.59,93.97,93.97
2024年12月17日,93.59,93.59,93.97,93.97
2024年12月16日,93.51,93.51,93.89,93.89
2024年12月15日,93.36,93.36,93.74,93.74
2024年12月14日,93.36,93.36,93.74,93.74
2024年12月13日,93.37,93.37,93.75,93.75
2024年12月12日,93.3,93.3,93.68,93.68
2024年12月11日,93.22,93.22,93.6,93.6
2024年12月10日,93.15,93.15,93.53,93.53
2024年12月9日,93.23,93.23,93.61,93.61
2024年12月8日,93.29,93.29,93.67,93.67
2024年12月7日,93.29,93.29,93.67,93.67
2024年12月6日,93.19,93.19,93.57,93.57
2024年12月5日,93.16,93.16,93.54,93.54
2024年12月4日,93.25,93.25,93.63,93.63
2024年12月3日,93.41,93.41,93.79,93.79
2024年12月2日,93.23,93.23,93.61,93.61
2024年12月1日,92.95,92.95,93.33,93.33
2024年11月30日,92.95,92.95,93.33,93.33
2024年11月29日,92.88,92.88,93.26,93.26
2024年11月28日,92.95,92.95,93.33,93.33
2024年11月27日,92.95,92.95,93.33,93.33
2024年11月26日,92.98,92.98,93.36,93.36
2024年11月25日,92.86,92.86,93.24,93.24
2024年11月24日,92.93,92.93,93.31,93.31
2024年11月23日,92.93,92.93,93.31,93.31
2024年11月22日,92.91,92.91,93.29,93.29
2024年11月21日,92.84,92.84,93.22,93.22
2024年11月20日,92.9,92.9,93.28,93.28
2024年11月19日,92.82,92.82,93.2,93.2
2024年11月18日,92.84,92.84,93.22,93.22
2024年11月17日,92.67,92.67,93.05,93.05
2024年11月16日,92.67,92.67,93.05,93.05
2024年11月15日,92.7,92.7,93.08,93.08
2024年11月14日,92.91,92.91,93.29,93.29
2024年11月13日,92.53,92.53,92.91,92.91
2024年11月12日,92.75,92.75,93.13,93.13
2024年11月11日,92.47,92.47,92.85,92.85
2024年11月10日,92.24,92.24,92.6,92.6
2024年11月9日,92.24,92.24,92.6,92.6
2024年11月8日,92.12,92.12,92.48,92.48
2024年11月7日,91.8,91.8,92.16,92.16
2024年11月6日,92.09,92.09,92.45,92.45
2024年11月5日,91.22,91.22,91.58,91.58
2024年11月4日,91.14,91.14,91.5,91.5
2024年11月3日,91.49,91.49,91.85,91.85
2024年11月2日,91.49,91.49,91.85,91.85
2024年11月1日,91.38,91.38,91.74,91.74
2024年10月31日,91.37,91.37,91.73,91.73
2024年10月30日,91.51,91.51,91.87,91.87
2024年10月29日,91.67,91.67,92.03,92.03
2024年10月28日,91.51,91.51,91.87,91.87
2024年10月27日,91.48,91.48,91.84,91.84
2024年10月26日,91.48,91.48,91.84,91.84
2024年10月25日,91.52,91.52,91.88,91.88
2024年10月24日,91.45,91.45,91.81,91.81
2024年10月23日,91.53,91.53,91.89,91.89
2024年10月22日,91.45,91.45,91.81,91.81
2024年10月21日,91.35,91.35,91.71,91.71
2024年10月20日,91.23,91.23,91.59,91.59
2024年10月19日,91.23,91.23,91.59,91.59
2024年10月18日,91.22,91.22,91.58,91.58
2024年10月17日,91.45,91.45,91.81,91.81
2024年10月16日,91.38,91.38,91.74,91.74
2024年10月15日,91.45,91.45,91.81,91.81
2024年10月14日,91.07,91.07,91.43,91.43
2024年10月13日,90.77,90.77,91.13,91.13
2024年10月12日,90.77,90.77,91.13,91.13
2024年10月11日,90.76,90.76,91.12,91.12
2024年10月10日,90.88,90.88,91.24,91.24
2024年10月9日,90.84,90.84,91.2,91.2
2024年10月8日,90.57,90.57,90.93,90.93
2024年10月7日,90.92,90.92,91.28,91.28
2024年10月6日,91.08,91.08,91.44,91.44
2024年10月5日,91.08,91.08,91.44,91.44
2024年10月4日,90.74,90.74,91.1,91.1
2024年10月3日,90.4,90.4,90.76,90.76
2024年10月2日,90.34,90.34,90.7,90.7
2024年10月1日,90.23,90.23,90.59,90.59
2024年9月30日,90.19,90.19,90.55,90.55
2024年9月29日,90.02,90.02,90.38,90.38
2024年9月28日,90.02,90.02,90.38,90.38
2024年9月27日,90.06,90.06,90.42,90.42
2024年9月26日,89.96,89.96,90.32,90.32
2024年9月25日,90.08,90.08,90.44,90.44
2024年9月24日,90.15,90.15,90.51,90.51
2024年9月23日,90.46,90.46,90.82,90.82
2024年9月22日,90.28,90.28,90.64,90.64
2024年9月21日,90.28,90.28,90.64,90.64
2024年9月20日,90.37,90.37,90.73,90.73
2024年9月19日,90.53,90.53,90.89,90.89
2024年9月18日,90.68,90.68,91.04,91.04
2024年9月17日,90.9,90.9,91.26,91.26
2024年9月16日,90.88,90.88,91.24,91.24
2024年9月15日,90.83,90.83,91.19,91.19
2024年9月14日,90.83,90.83,91.19,91.19
2024年9月13日,90.83,90.83,91.19,91.19
2024年9月12日,91.11,91.11,91.47,91.47
2024年9月11日,91.11,91.11,91.47,91.47
2024年9月10日,91.13,91.13,91.49,91.49
2024年9月9日,91.05,91.05,91.41,91.41
2024年9月8日,90.9,90.9,91.26,91.26
2024年9月7日,90.9,90.9,91.26,91.26
2024年9月6日,90.87,90.87,91.23,91.23
2024年9月5日,90.77,90.77,91.13,91.13
2024年9月4日,91.11,91.11,91.47,91.47
2024年9月3日,91.17,91.17,91.53,91.53
2024年9月2日,91.11,91.11,91.47,91.47
2024年9月1日,90.76,90.76,91.12,91.12
2024年8月31日,90.76,90.76,91.12,91.12
2024年8月30日,90.72,90.72,91.08,91.08
2024年8月29日,90.92,90.92,91.28,91.28
2024年8月28日,91.27,91.27,91.63,91.63
2024年8月27日,91.16,91.16,91.52,91.52
2024年8月26日,91.19,91.19,91.55,91.55
2024年8月25日,91.19,91.19,91.55,91.55
2024年8月24日,91.19,91.19,91.55,91.55
2024年8月23日,91.35,91.35,91.71,91.71
2024年8月22日,91.43,91.43,91.79,91.79
2024年8月21日,91.38,91.38,91.74,91.74
2024年8月20日,91.46,91.46,91.82,91.82
2024年8月19日,91.55,91.55,91.91,91.91
2024年8月18日,91.67,91.67,92.03,92.03
2024年8月17日,91.67,91.67,92.03,92.03
2024年8月16日,91.75,91.75,92.11,92.11
2024年8月15日,91.9,91.9,92.26,92.26
2024年8月14日,91.47,91.47,91.83,91.83
2024年8月13日,91.77,91.77,92.13,92.13
2024年8月12日,91.97,91.97,92.33,92.33
2024年8月11日,91.75,91.75,92.11,92.11
2024年8月10日,91.75,91.75,92.11,92.11
2024年8月9日,91.75,91.75,92.11,92.11
2024年8月8日,91.91,91.91,92.27,92.27
2024年8月7日,91.87,91.87,92.23,92.23
2024年8月6日,91.68,91.68,92.04,92.04
2024年8月5日,91.34,91.34,91.7,91.7
2024年8月4日,91.75,91.75,92.11,92.11
2024年8月3日,91.75,91.75,92.11,92.11
2024年8月2日,91.81,91.81,92.17,92.17
2024年8月1日,92.58,92.58,92.96,92.96
2024年7月31日,92.23,92.23,92.59,92.59
2024年7月30日,92.65,92.65,93.03,93.03
2024年7月29日,92.81,92.81,93.19,93.19
2024年7月28日,92.69,92.69,93.07,93.07
2024年7月27日,92.69,92.69,93.07,93.07
2024年7月26日,92.74,92.74,93.12,93.12
2024年7月25日,92.55,92.55,92.93,92.93
2024年7月24日,93,93,93.38,93.38
2024年7月23日,93.01,93.01,93.39,93.39
2024年7月22日,92.99,92.99,93.37,93.37
2024年7月21日,92.89,92.89,93.27,93.27
2024年7月20日,92.89,92.89,93.27,93.27
2024年7月19日,92.94,92.94,93.32,93.32
2024年7月18日,92.83,92.83,93.21,93.21
2024年7月17日,92.82,92.82,93.2,93.2
2024年7月16日,92.94,92.94,93.32,93.32
2024年7月15日,92.87,92.87,93.25,93.25
2024年7月14日,92.68,92.68,93.06,93.06
2024年7月13日,92.68,92.68,93.06,93.06
2024年7月12日,92.74,92.74,93.12,93.12
2024年7月11日,92.8,92.8,93.18,93.18
2024年7月10日,92.99,92.99,93.37,93.37
2024年7月9日,92.93,92.93,93.31,93.31
2024年7月8日,92.9,92.9,93.28,93.28
2024年7月7日,92.84,92.84,93.22,93.22
2024年7月6日,92.84,92.84,93.22,93.22
2024年7月5日,92.92,92.92,93.3,93.3
2024年7月4日,92.95,92.95,93.33,93.33
2024年7月3日,92.93,92.93,93.31,93.31
2024年7月2日,92.9,92.9,93.28,93.28
2024年7月1日,92.89,92.89,93.27,93.27
2024年6月30日,92.88,92.88,93.26,93.26
2024年6月29日,92.88,92.88,93.26,93.26
2024年6月28日,92.87,92.87,93.25,93.25
2024年6月27日,92.92,92.92,93.3,93.3
2024年6月26日,92.88,92.88,93.26,93.26
2024年6月25日,92.86,92.86,93.24,93.24
2024年6月24日,92.8,92.8,93.18,93.18
2024年6月23日,92.83,92.83,93.21,93.21
2024年6月22日,92.83,92.83,93.21,93.21
2024年6月21日,92.89,92.89,93.27,93.27
2024年6月20日,92.89,92.89,93.27,93.27
2024年6月19日,92.81,92.81,93.19,93.19
2024年6月18日,92.77,92.77,93.15,93.15
2024年6月17日,92.75,92.75,93.13,93.13
2024年6月16日,92.71,92.71,93.09,93.09
2024年6月15日,92.71,92.71,93.09,93.09
2024年6月14日,92.73,92.73,93.11,93.11
2024年6月13日,92.69,92.69,93.07,93.07
2024年6月12日,92.57,92.57,92.95,92.95
2024年6月11日,92.71,92.71,93.09,93.09
2024年6月10日,92.57,92.57,92.95,92.95
2024年6月9日,92.58,92.58,92.96,92.96
2024年6月8日,92.58,92.58,92.96,92.96
2024年6月7日,92.66,92.66,93.04,93.04
2024年6月6日,92.64,92.64,93.02,93.02
2024年6月5日,92.62,92.62,93,93
2024年6月4日,92.49,92.49,92.87,92.87
2024年6月3日,92.48,92.48,92.86,92.86
2024年6月2日,92.42,91.78,92.8,92.8
2024年6月1日,92.42,91.78,92.8,92.8
2024年5月31日,92.47,91.83,92.85,92.85
2024年5月30日,92.43,91.79,92.81,92.81
2024年5月29日,92.62,91.97,93,93
2024年5月28日,92.59,91.94,92.97,92.97
2024年5月27日,92.61,91.96,92.99,92.99
2024年5月26日,92.53,91.89,92.91,92.91
2024年5月25日,92.53,91.89,92.91,92.91
2024年5月24日,92.57,91.93,92.95,92.95
2024年5月23日,92.58,91.94,92.96,92.96
2024年5月22日,92.58,91.94,92.96,92.96
2024年5月21日,92.53,91.89,92.91,92.91
2024年5月20日,92.57,91.93,92.95,92.95
2024年5月19日,92.41,91.77,92.79,92.79
2024年5月18日,92.41,91.77,92.79,92.79
2024年5月17日,92.47,91.83,92.85,92.85
2024年5月16日,92.38,91.74,92.76,92.76
2024年5月15日,92.33,91.69,92.71,92.71
2024年5月14日,92.42,91.78,92.8,92.8
2024年5月13日,92.43,91.79,92.81,92.81
2024年5月12日,92.32,91.67,92.69,92.69
2024年5月11日,92.32,91.67,92.69,92.69
2024年5月10日,92.32,91.68,92.7,92.7
2024年5月9日,92.29,91.64,92.65,92.65
2024年5月8日,92.29,91.64,92.65,92.65
2024年5月7日,92.12,91.47,92.48,92.48
2024年5月6日,92.03,91.38,92.39,92.39
2024年5月5日,92.56,91.92,92.94,92.94
2024年5月4日,92.56,91.92,92.94,92.94
2024年5月3日,92.54,91.9,92.92,92.92
2024年5月2日,92.49,91.85,92.87,92.87
2024年5月1日,92.45,91.81,92.83,92.83
2024年4月30日,92.5,91.86,92.88,92.88
2024年4月29日,92.4,91.76,92.78,92.78
2024年4月28日,92.38,91.74,92.76,92.76
2024年4月27日,92.38,91.74,92.76,92.76
2024年4月26日,92.41,91.77,92.79,92.79
2024年4月25日,92.4,91.76,92.78,92.78
2024年4月24日,92.35,91.71,92.73,92.73
2024年4月23日,92.32,91.68,92.7,92.7
2024年4月22日,92.29,91.64,92.65,92.65
2024年4月21日,92.26,91.61,92.62,92.62
2024年4月20日,92.26,91.61,92.62,92.62
2024年4月19日,92.3,91.65,92.66,92.66
2024年4月18日,92.28,91.63,92.64,92.64
2024年4月17日,92.28,91.63,92.64,92.64
2024年4月16日,92.27,91.62,92.63,92.63
2024年4月15日,92.32,91.67,92.69,92.69
2024年4月14日,92.18,91.53,92.54,92.54
2024年4月13日,92.18,91.53,92.54,92.54
2024年4月12日,92.22,91.57,92.58,92.58
2024年4月11日,92.23,91.58,92.59,92.59
2024年4月10日,92.19,91.54,92.55,92.55
2024年4月9日,92.18,91.53,92.54,92.54
2024年4月8日,92.17,91.52,92.53,92.53
2024年4月7日,92.24,91.59,92.6,92.6
2024年4月6日,92.24,91.59,92.6,92.6
2024年4月5日,92.24,91.59,92.6,92.6
2024年4月4日,92.24,91.59,92.6,92.6
2024年4月3日,92.29,91.64,92.65,92.65
2024年4月2日,92.3,91.65,92.66,92.66
2024年4月1日,92.25,91.6,92.61,92.61
